url,id,price,baths,rooms,sqft
https://www.idealista.com/inmueble/103836333/,103836333,1038800,3,3,205
https://www.idealista.com/inmueble/103599453/,103599453,1800000,4,3,150
https://www.idealista.com/inmueble/97917046/,97917046,529900,1,2,88
https://www.idealista.com/inmueble/102790058/,102790058,958800,4,4,150
https://www.idealista.com/inmueble/103903776/,103903776,675000,2,2,102
https://www.idealista.com/inmueble/103773097/,103773097,267000,1,0,39
https://www.idealista.com/inmueble/104187562/,104187562,789000,3,3,100
https://www.idealista.com/inmueble/104035132/,104035132,1670000,3,4,158
https://www.idealista.com/inmueble/103778071/,103778071,1175000,2,2,153
https://www.idealista.com/inmueble/104083892/,104083892,260000,1,2,66
https://www.idealista.com/inmueble/104182668/,104182668,1980000,3,3,236
https://www.idealista.com/inmueble/104150434/,104150434,475000,1,1,72
https://www.idealista.com/inmueble/103696378/,103696378,319000,1,1,50
https://www.idealista.com/inmueble/104174688/,104174688,1660000,3,3,228
https://www.idealista.com/inmueble/104009374/,104009374,1920000,3,3,211
https://www.idealista.com/inmueble/103941036/,103941036,1650000,2,2,137
https://www.idealista.com/inmueble/101795782/,101795782,1300000,3,4,235
https://www.idealista.com/inmueble/99081222/,99081222,1290000,3,5,166
https://www.idealista.com/inmueble/103622559/,103622559,510000,1,3,83
https://www.idealista.com/inmueble/104111429/,104111429,1375000,3,4,247
https://www.idealista.com/inmueble/102150704/,102150704,795000,2,3,138
https://www.idealista.com/inmueble/103868199/,103868199,875000,2,3,140
https://www.idealista.com/inmueble/102825445/,102825445,1125000,3,4,173
https://www.idealista.com/inmueble/102805100/,102805100,995000,2,2,125
https://www.idealista.com/inmueble/103727228/,103727228,475000,1,2,75
https://www.idealista.com/inmueble/103886121/,103886121,250000,1,1,40
https://www.idealista.com/inmueble/103758946/,103758946,1250000,3,4,230
https://www.idealista.com/inmueble/103393264/,103393264,569000,1,1,46
https://www.idealista.com/inmueble/100082943/,100082943,795000,2,4,200
https://www.idealista.com/inmueble/103985051/,103985051,689000,2,3,161
https://www.idealista.com/inmueble/103648541/,103648541,420000,2,3,73
https://www.idealista.com/inmueble/104048486/,104048486,625000,2,3,125
https://www.idealista.com/inmueble/103761543/,103761543,777000,1,2,111
https://www.idealista.com/inmueble/103339907/,103339907,1375000,3,5,197
https://www.idealista.com/inmueble/103372456/,103372456,799000,3,6,143
https://www.idealista.com/inmueble/103775208/,103775208,777000,1,2,111
https://www.idealista.com/inmueble/104103419/,104103419,850000,3,3,151
https://www.idealista.com/inmueble/102897038/,102897038,660000,1,2,107
https://www.idealista.com/inmueble/103199813/,103199813,720000,2,2,87
https://www.idealista.com/inmueble/100248976/,100248976,950000,2,2,120
https://www.idealista.com/inmueble/103185819/,103185819,555000,2,3,110
https://www.idealista.com/inmueble/103695243/,103695243,1230000,4,3,225
https://www.idealista.com/inmueble/102093483/,102093483,1200000,2,2,124
https://www.idealista.com/inmueble/103246204/,103246204,317000,1,2,60
https://www.idealista.com/inmueble/103516984/,103516984,350000,2,4,116
https://www.idealista.com/inmueble/100904586/,100904586,1575000,2,2,189
https://www.idealista.com/inmueble/104009726/,104009726,950000,2,4,157
https://www.idealista.com/inmueble/103909133/,103909133,777000,1,2,111
https://www.idealista.com/inmueble/102684554/,102684554,1690000,4,5,252
https://www.idealista.com/inmueble/104200454/,104200454,1760000,3,3,145
https://www.idealista.com/inmueble/102839114/,102839114,1050000,3,5,265
https://www.idealista.com/inmueble/103253544/,103253544,1550000,2,7,272
https://www.idealista.com/inmueble/102130545/,102130545,695000,2,3,120
https://www.idealista.com/inmueble/102189591/,102189591,1580000,3,3,182
https://www.idealista.com/inmueble/102415482/,102415482,475000,1,1,79
https://www.idealista.com/inmueble/103859640/,103859640,780000,2,2,74
https://www.idealista.com/inmueble/102612566/,102612566,385000,1,3,97
https://www.idealista.com/inmueble/102230304/,102230304,515000,2,3,79
https://www.idealista.com/inmueble/103815153/,103815153,1150000,3,3,152
https://www.idealista.com/inmueble/103990661/,103990661,790000,1,1,62
https://www.idealista.com/inmueble/98970567/,98970567,990000,2,3,146
https://www.idealista.com/inmueble/102445673/,102445673,945000,2,3,159
https://www.idealista.com/inmueble/102623733/,102623733,1705000,3,3,138
https://www.idealista.com/inmueble/103860190/,103860190,450000,2,3,105
https://www.idealista.com/inmueble/102825903/,102825903,365900,2,3,105
https://www.idealista.com/inmueble/103627521/,103627521,249900,1,2,70
https://www.idealista.com/inmueble/103745646/,103745646,850000,2,3,128
https://www.idealista.com/inmueble/103646317/,103646317,269900,2,3,85
https://www.idealista.com/inmueble/104112613/,104112613,385000,1,1,56
https://www.idealista.com/inmueble/102560380/,102560380,214900,1,2,70
https://www.idealista.com/inmueble/102812546/,102812546,349000,1,1,80
https://www.idealista.com/inmueble/102802128/,102802128,345000,1,1,55
https://www.idealista.com/inmueble/102777616/,102777616,290000,1,1,96
https://www.idealista.com/inmueble/102912846/,102912846,480000,2,3,100
https://www.idealista.com/inmueble/102746764/,102746764,1530000,2,2,133
https://www.idealista.com/inmueble/102065964/,102065964,335000,2,2,70
https://www.idealista.com/inmueble/104064086/,104064086,595000,2,4,123
https://www.idealista.com/inmueble/103685979/,103685979,995000,4,4,240
https://www.idealista.com/inmueble/103911168/,103911168,260000,1,1,60
https://www.idealista.com/inmueble/103863614/,103863614,770000,2,4,123
https://www.idealista.com/inmueble/102703551/,102703551,535000,2,4,150
https://www.idealista.com/inmueble/103864441/,103864441,145000,1,3,54
https://www.idealista.com/inmueble/102893712/,102893712,680000,1,2,92
https://www.idealista.com/inmueble/104035847/,104035847,279000,1,2,70
https://www.idealista.com/inmueble/103642105/,103642105,548000,1,2,75
https://www.idealista.com/inmueble/103681802/,103681802,179000,1,1,71
https://www.idealista.com/inmueble/103893120/,103893120,299000,1,1,41
https://www.idealista.com/inmueble/103266720/,103266720,339000,2,3,87
https://www.idealista.com/inmueble/103035144/,103035144,404000,1,1,67
https://www.idealista.com/inmueble/98341437/,98341437,285000,2,2,91
https://www.idealista.com/inmueble/99990072/,99990072,525000,2,2,107
https://www.idealista.com/inmueble/102871469/,102871469,579000,2,3,145
https://www.idealista.com/inmueble/95798532/,95798532,779000,3,3,176
https://www.idealista.com/inmueble/99777508/,99777508,388000,1,1,61
https://www.idealista.com/inmueble/102998789/,102998789,180000,1,2,92
https://www.idealista.com/inmueble/102404641/,102404641,388000,1,1,61
https://www.idealista.com/inmueble/103681796/,103681796,265000,2,2,97
https://www.idealista.com/inmueble/103523871/,103523871,675000,2,3,152
https://www.idealista.com/inmueble/102848743/,102848743,690000,2,3,113
https://www.idealista.com/inmueble/103551236/,103551236,1129500,2,3,188
https://www.idealista.com/inmueble/103490382/,103490382,388000,2,4,144
https://www.idealista.com/inmueble/102245298/,102245298,799000,4,5,180
https://www.idealista.com/inmueble/103983460/,103983460,550000,2,2,69
https://www.idealista.com/inmueble/100367635/,100367635,1150000,3,4,158
https://www.idealista.com/inmueble/104010453/,104010453,1598000,3,3,116
https://www.idealista.com/inmueble/102243570/,102243570,1200000,2,2,114
https://www.idealista.com/inmueble/100260573/,100260573,1400000,4,3,125
https://www.idealista.com/inmueble/102126545/,102126545,879000,2,2,76
https://www.idealista.com/inmueble/103775576/,103775576,1400000,3,4,173
https://www.idealista.com/inmueble/102200705/,102200705,309000,1,1,45
https://www.idealista.com/inmueble/102695563/,102695563,850000,3,4,238
